# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Fri Aug 03 14:09:50 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0005840	cellular_component	ribosome	10	10	1.0
GO:0005198	molecular_function	structural molecule activity	10	10	1.0
GO:1901363	molecular_function	heterocyclic compound binding	10	10	1.0
GO:0006412	biological_process	translation	10	10	1.0
GO:0006417	biological_process	regulation of translation	10	10	1.0
GO:0017148	biological_process	negative regulation of translation	10	10	1.0
GO:0008150	biological_process	biological_process	10	10	1.0
GO:0010556	biological_process	regulation of macromolecule biosynthetic process	10	10	1.0
GO:0015935	cellular_component	small ribosomal subunit	10	10	1.0
GO:0010558	biological_process	negative regulation of macromolecule biosynthetic process	10	10	1.0
GO:0034248	biological_process	regulation of cellular amide metabolic process	10	10	1.0
GO:0034249	biological_process	negative regulation of cellular amide metabolic process	10	10	1.0
GO:0005575	cellular_component	cellular_component	10	10	1.0
GO:0032991	cellular_component	macromolecular complex	10	10	1.0
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0044391	cellular_component	ribosomal subunit	10	10	1.0
GO:0000028	biological_process	ribosomal small subunit assembly	10	10	1.0
GO:0043603	biological_process	cellular amide metabolic process	10	10	1.0
GO:0043604	biological_process	amide biosynthetic process	10	10	1.0
GO:0003674	molecular_function	molecular_function	10	10	1.0
GO:0005737	cellular_component	cytoplasm	10	10	1.0
GO:0003676	molecular_function	nucleic acid binding	10	10	1.0
GO:0010605	biological_process	negative regulation of macromolecule metabolic process	10	10	1.0
GO:0043043	biological_process	peptide biosynthetic process	10	10	1.0
GO:0010608	biological_process	posttranscriptional regulation of gene expression	10	10	1.0
GO:0050789	biological_process	regulation of biological process	10	10	1.0
GO:0050794	biological_process	regulation of cellular process	10	10	1.0
GO:0044422	cellular_component	organelle part	10	10	1.0
GO:0044424	cellular_component	intracellular part	10	10	1.0
GO:2000112	biological_process	regulation of cellular macromolecule biosynthetic process	10	10	1.0
