# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Fri Aug 03 14:10:11 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0043170	biological_process	macromolecule metabolic process	10	10	1.0
unknownfun	molecular_function	unknown molecular function	10	10	1.0
GO:0018130	biological_process	heterocycle biosynthetic process	10	10	1.0
unknowncmp	cellular_component	unknown cellular component	10	10	1.0
GO:0006732	biological_process	coenzyme metabolic process	10	10	1.0
GO:0051189	biological_process	prosthetic group metabolic process	10	10	1.0
GO:1901360	biological_process	organic cyclic compound metabolic process	10	10	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	10	10	1.0
GO:0003674	molecular_function	molecular_function	10	10	1.0
GO:1901362	biological_process	organic cyclic compound biosynthetic process	10	10	1.0
GO:0019538	biological_process	protein metabolic process	10	10	1.0
GO:0043545	biological_process	molybdopterin cofactor metabolic process	10	10	1.0
GO:1901564	biological_process	organonitrogen compound metabolic process	10	10	1.0
GO:0090407	biological_process	organophosphate biosynthetic process	10	10	1.0
GO:1901566	biological_process	organonitrogen compound biosynthetic process	10	10	1.0
GO:0046483	biological_process	heterocycle metabolic process	10	10	1.0
GO:0008150	biological_process	biological_process	10	10	1.0
GO:1901576	biological_process	organic substance biosynthetic process	10	10	1.0
GO:0051186	biological_process	cofactor metabolic process	10	10	1.0
GO:0051188	biological_process	cofactor biosynthetic process	10	10	1.0
GO:0009108	biological_process	coenzyme biosynthetic process	10	10	1.0
GO:0044237	biological_process	cellular metabolic process	10	10	1.0
GO:0044238	biological_process	primary metabolic process	10	10	1.0
GO:0006777	biological_process	Mo-molybdopterin cofactor biosynthetic process	10	10	1.0
GO:0019637	biological_process	organophosphate metabolic process	10	10	1.0
GO:0009987	biological_process	cellular process	10	10	1.0
GO:0044249	biological_process	cellular biosynthetic process	10	10	1.0
GO:0009058	biological_process	biosynthetic process	10	10	1.0
GO:0005575	cellular_component	cellular_component	10	10	1.0
GO:0071704	biological_process	organic substance metabolic process	10	10	1.0
GO:0006793	biological_process	phosphorus metabolic process	10	10	1.0
GO:0019720	biological_process	Mo-molybdopterin cofactor metabolic process	10	10	1.0
GO:0006796	biological_process	phosphate-containing compound metabolic process	10	10	1.0
GO:0032324	biological_process	molybdopterin cofactor biosynthetic process	10	10	1.0
