# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 08:45:52 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:1901360	biological_process	organic cyclic compound metabolic process	10	10	1.0
GO:1901361	biological_process	organic cyclic compound catabolic process	10	10	1.0
GO:1901362	biological_process	organic cyclic compound biosynthetic process	10	10	1.0
GO:0009218	biological_process	pyrimidine ribonucleotide metabolic process	10	10	1.0
GO:0009220	biological_process	pyrimidine ribonucleotide biosynthetic process	10	10	1.0
GO:0006139	biological_process	nucleobase-containing compound metabolic process	10	10	1.0
GO:0008150	biological_process	biological_process	10	10	1.0
GO:0019637	biological_process	organophosphate metabolic process	10	10	1.0
GO:1901135	biological_process	carbohydrate derivative metabolic process	10	10	1.0
GO:1901657	biological_process	glycosyl compound metabolic process	10	10	1.0
GO:1901137	biological_process	carbohydrate derivative biosynthetic process	10	10	1.0
GO:1901659	biological_process	glycosyl compound biosynthetic process	10	10	1.0
GO:0005575	cellular_component	cellular_component	10	10	1.0
GO:0046131	biological_process	pyrimidine ribonucleoside metabolic process	10	10	1.0
GO:0009259	biological_process	ribonucleotide metabolic process	10	10	1.0
GO:0046132	biological_process	pyrimidine ribonucleoside biosynthetic process	10	10	1.0
GO:0009260	biological_process	ribonucleotide biosynthetic process	10	10	1.0
GO:0046134	biological_process	pyrimidine nucleoside biosynthetic process	10	10	1.0
GO:0042455	biological_process	ribonucleoside biosynthetic process	10	10	1.0
GO:0046390	biological_process	ribose phosphate biosynthetic process	10	10	1.0
GO:0006725	biological_process	cellular aromatic compound metabolic process	10	10	1.0
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0003674	molecular_function	molecular_function	10	10	1.0
GO:0005737	cellular_component	cytoplasm	10	10	1.0
GO:0046700	biological_process	heterocycle catabolic process	10	10	1.0
GO:0090407	biological_process	organophosphate biosynthetic process	10	10	1.0
GO:0006753	biological_process	nucleoside phosphate metabolic process	10	10	1.0
GO:0044424	cellular_component	intracellular part	10	10	1.0
GO:0006213	biological_process	pyrimidine nucleoside metabolic process	10	10	1.0
GO:0019693	biological_process	ribose phosphate metabolic process	10	10	1.0
GO:0006220	biological_process	pyrimidine nucleotide metabolic process	10	10	1.0
GO:0046434	biological_process	organophosphate catabolic process	10	10	1.0
GO:0044699	biological_process	single-organism process	10	10	1.0
GO:0055086	biological_process	nucleobase-containing small molecule metabolic process	10	10	1.0
GO:0006221	biological_process	pyrimidine nucleotide biosynthetic process	10	10	1.0
GO:0006222	biological_process	UMP biosynthetic process	10	10	1.0
GO:0019438	biological_process	aromatic compound biosynthetic process	10	10	1.0
GO:0019439	biological_process	aromatic compound catabolic process	10	10	1.0
GO:0044710	biological_process	single-organism metabolic process	10	10	1.0
GO:0009056	biological_process	catabolic process	10	10	1.0
GO:0044711	biological_process	single-organism biosynthetic process	10	10	1.0
GO:0009058	biological_process	biosynthetic process	10	10	1.0
GO:0044712	biological_process	single-organism catabolic process	10	10	1.0
GO:0006793	biological_process	phosphorus metabolic process	10	10	1.0
GO:0006796	biological_process	phosphate-containing compound metabolic process	10	10	1.0
GO:0043094	biological_process	cellular metabolic compound salvage	10	10	1.0
GO:0044464	cellular_component	cell part	10	10	1.0
GO:0043097	biological_process	pyrimidine nucleoside salvage	10	10	1.0
GO:0010138	biological_process	pyrimidine ribonucleotide salvage	10	10	1.0
GO:0032262	biological_process	pyrimidine nucleotide salvage	10	10	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	10	10	1.0
GO:0044206	biological_process	UMP salvage	10	10	1.0
GO:0046483	biological_process	heterocycle metabolic process	10	10	1.0
GO:0034641	biological_process	cellular nitrogen compound metabolic process	10	10	1.0
GO:0044237	biological_process	cellular metabolic process	10	10	1.0
GO:0044238	biological_process	primary metabolic process	10	10	1.0
GO:0044763	biological_process	single-organism cellular process	10	10	1.0
GO:0009116	biological_process	nucleoside metabolic process	10	10	1.0
GO:0004850	molecular_function	uridine phosphorylase activity	10	10	1.0
GO:0034654	biological_process	nucleobase-containing compound biosynthetic process	10	10	1.0
