# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 08:46:18 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
unknowncmp	cellular_component	unknown cellular component	10	10	1.0
GO:1901360	biological_process	organic cyclic compound metabolic process	10	10	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	10	10	1.0
GO:1901362	biological_process	organic cyclic compound biosynthetic process	10	10	1.0
GO:0046483	biological_process	heterocycle metabolic process	10	10	1.0
GO:0006139	biological_process	nucleobase-containing compound metabolic process	10	10	1.0
GO:0008150	biological_process	biological_process	10	10	1.0
GO:0006163	biological_process	purine nucleotide metabolic process	10	10	1.0
GO:0042278	biological_process	purine nucleoside metabolic process	10	10	1.0
GO:0034641	biological_process	cellular nitrogen compound metabolic process	10	10	1.0
GO:0044237	biological_process	cellular metabolic process	10	10	1.0
GO:0044763	biological_process	single-organism cellular process	10	10	1.0
GO:0044238	biological_process	primary metabolic process	10	10	1.0
GO:0019637	biological_process	organophosphate metabolic process	10	10	1.0
GO:0009116	biological_process	nucleoside metabolic process	10	10	1.0
GO:1901135	biological_process	carbohydrate derivative metabolic process	10	10	1.0
GO:0009117	biological_process	nucleotide metabolic process	10	10	1.0
GO:0034654	biological_process	nucleobase-containing compound biosynthetic process	10	10	1.0
GO:1901137	biological_process	carbohydrate derivative biosynthetic process	10	10	1.0
GO:1901657	biological_process	glycosyl compound metabolic process	10	10	1.0
GO:0009119	biological_process	ribonucleoside metabolic process	10	10	1.0
GO:1901659	biological_process	glycosyl compound biosynthetic process	10	10	1.0
GO:0006164	biological_process	purine nucleotide biosynthetic process	10	10	1.0
GO:0009123	biological_process	nucleoside monophosphate metabolic process	10	10	1.0
GO:0009124	biological_process	nucleoside monophosphate biosynthetic process	10	10	1.0
GO:0046128	biological_process	purine ribonucleoside metabolic process	10	10	1.0
GO:0044249	biological_process	cellular biosynthetic process	10	10	1.0
GO:0046129	biological_process	purine ribonucleoside biosynthetic process	10	10	1.0
GO:0009126	biological_process	purine nucleoside monophosphate metabolic process	10	10	1.0
GO:0042451	biological_process	purine nucleoside biosynthetic process	10	10	1.0
GO:0005575	cellular_component	cellular_component	10	10	1.0
GO:0009127	biological_process	purine nucleoside monophosphate biosynthetic process	10	10	1.0
GO:0009259	biological_process	ribonucleotide metabolic process	10	10	1.0
GO:0009260	biological_process	ribonucleotide biosynthetic process	10	10	1.0
GO:0042455	biological_process	ribonucleoside biosynthetic process	10	10	1.0
GO:0005488	molecular_function	binding	10	10	1.0
GO:0046390	biological_process	ribose phosphate biosynthetic process	10	10	1.0
GO:0006725	biological_process	cellular aromatic compound metabolic process	10	10	1.0
GO:0043167	molecular_function	ion binding	10	10	1.0
GO:0006177	biological_process	GMP biosynthetic process	10	10	1.0
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0043169	molecular_function	cation binding	10	10	1.0
GO:0018130	biological_process	heterocycle biosynthetic process	10	10	1.0
GO:1901293	biological_process	nucleoside phosphate biosynthetic process	10	10	1.0
GO:0046872	molecular_function	metal ion binding	10	10	1.0
GO:0016614	molecular_function	oxidoreductase activity, acting on CH-OH group of donors	10	10	1.0
GO:0044271	biological_process	cellular nitrogen compound biosynthetic process	10	10	1.0
GO:0003674	molecular_function	molecular_function	10	10	1.0
GO:0016616	molecular_function	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	10	10	1.0
GO:0009150	biological_process	purine ribonucleotide metabolic process	10	10	1.0
GO:0009152	biological_process	purine ribonucleotide biosynthetic process	10	10	1.0
GO:0009156	biological_process	ribonucleoside monophosphate biosynthetic process	10	10	1.0
