# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Sat Sep 21 10:17:00 PDT 2019
GO acc	GO aspect	GO name	count	total count	ratio
GO:0006725	biological_process	cellular aromatic compound metabolic process	10	10	1.0
GO:1901137	biological_process	carbohydrate derivative biosynthetic process	10	10	1.0
GO:0006732	biological_process	coenzyme metabolic process	10	10	1.0
GO:0034654	biological_process	nucleobase-containing compound biosynthetic process	10	10	1.0
GO:0034655	biological_process	nucleobase-containing compound catabolic process	10	10	1.0
GO:0006733	biological_process	oxidoreduction coenzyme metabolic process	10	10	1.0
GO:0046939	biological_process	nucleotide phosphorylation	10	10	1.0
GO:0005737	cellular_component	cytoplasm	10	10	1.0
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0006753	biological_process	nucleoside phosphate metabolic process	10	10	1.0
GO:0006754	biological_process	ATP biosynthetic process	10	10	1.0
GO:0006757	biological_process	ATP generation from ADP	10	10	1.0
GO:0015036	molecular_function	disulfide oxidoreductase activity	10	10	1.0
GO:0048037	molecular_function	cofactor binding	10	10	1.0
GO:0046390	biological_process	ribose phosphate biosynthetic process	10	10	1.0
GO:0006793	biological_process	phosphorus metabolic process	10	10	1.0
GO:0045254	cellular_component	pyruvate dehydrogenase complex	10	10	1.0
GO:0046394	biological_process	carboxylic acid biosynthetic process	10	10	1.0
GO:0046395	biological_process	carboxylic acid catabolic process	10	10	1.0
GO:0006796	biological_process	phosphate-containing compound metabolic process	10	10	1.0
GO:0008270	molecular_function	zinc ion binding	10	10	1.0
GO:0005886	cellular_component	plasma membrane	10	10	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	10	10	1.0
GO:0050789	biological_process	regulation of biological process	10	10	1.0
GO:0009055	molecular_function	electron transfer activity	10	10	1.0
GO:0050794	biological_process	regulation of cellular process	10	10	1.0
GO:0055086	biological_process	nucleobase-containing small molecule metabolic process	10	10	1.0
GO:0065007	biological_process	biological regulation	10	10	1.0
GO:0065008	biological_process	regulation of biological quality	10	10	1.0
GO:0046434	biological_process	organophosphate catabolic process	10	10	1.0
GO:0043603	biological_process	cellular amide metabolic process	10	10	1.0
GO:0043604	biological_process	amide biosynthetic process	10	10	1.0
GO:1901265	molecular_function	nucleoside phosphate binding	10	10	1.0
GO:0071616	biological_process	acyl-CoA biosynthetic process	10	10	1.0
GO:0017144	biological_process	drug metabolic process	10	10	1.0
GO:0046483	biological_process	heterocycle metabolic process	10	10	1.0
GO:0050896	biological_process	response to stimulus	10	10	1.0
GO:1901292	biological_process	nucleoside phosphate catabolic process	10	10	1.0
GO:1901293	biological_process	nucleoside phosphate biosynthetic process	10	10	1.0
GO:0009987	biological_process	cellular process	10	10	1.0
GO:0043648	biological_process	dicarboxylic acid metabolic process	10	10	1.0
GO:0046496	biological_process	nicotinamide nucleotide metabolic process	10	10	1.0
GO:0019637	biological_process	organophosphate metabolic process	10	10	1.0
GO:0005829	cellular_component	cytosol	10	10	1.0
GO:0000166	molecular_function	nucleotide binding	10	10	1.0
GO:0035383	biological_process	thioester metabolic process	10	10	1.0
GO:0044237	biological_process	cellular metabolic process	10	10	1.0
GO:0035384	biological_process	thioester biosynthetic process	10	10	1.0
GO:0044238	biological_process	primary metabolic process	10	10	1.0
GO:0006950	biological_process	response to stress	10	10	1.0
GO:0046031	biological_process	ADP metabolic process	10	10	1.0
GO:0046034	biological_process	ATP metabolic process	10	10	1.0
GO:0044248	biological_process	cellular catabolic process	10	10	1.0
GO:0044249	biological_process	cellular biosynthetic process	10	10	1.0
GO:0019693	biological_process	ribose phosphate metabolic process	10	10	1.0
GO:1901360	biological_process	organic cyclic compound metabolic process	10	10	1.0
GO:1901361	biological_process	organic cyclic compound catabolic process	10	10	1.0
GO:1901362	biological_process	organic cyclic compound biosynthetic process	10	10	1.0
GO:1901363	molecular_function	heterocyclic compound binding	10	10	1.0
GO:0044270	biological_process	cellular nitrogen compound catabolic process	10	10	1.0
GO:0044271	biological_process	cellular nitrogen compound biosynthetic process	10	10	1.0
