# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Sat Sep 21 10:32:38 PDT 2019
GO acc	GO aspect	GO name	count	total count	ratio
GO:0097159	molecular_function	organic cyclic compound binding	10	10	1.0
GO:0140098	molecular_function	catalytic activity, acting on RNA	10	10	1.0
GO:0006725	biological_process	cellular aromatic compound metabolic process	10	10	1.0
GO:0140101	molecular_function	catalytic activity, acting on a tRNA	10	10	1.0
GO:0032553	molecular_function	ribonucleotide binding	10	10	1.0
GO:0010629	biological_process	negative regulation of gene expression	10	10	1.0
GO:0032555	molecular_function	purine ribonucleotide binding	10	10	1.0
GO:0019752	biological_process	carboxylic acid metabolic process	10	10	1.0
GO:0032559	molecular_function	adenyl ribonucleotide binding	10	10	1.0
GO:0005737	cellular_component	cytoplasm	10	10	1.0
GO:0034660	biological_process	ncRNA metabolic process	10	10	1.0
GO:0008152	biological_process	metabolic process	10	10	1.0
GO:0016070	biological_process	RNA metabolic process	10	10	1.0
GO:0019219	biological_process	regulation of nucleobase-containing compound metabolic process	10	10	1.0
GO:0003674	molecular_function	molecular_function	10	10	1.0
GO:0019222	biological_process	regulation of metabolic process	10	10	1.0
GO:0003676	molecular_function	nucleic acid binding	10	10	1.0
GO:0009058	biological_process	biosynthetic process	10	10	1.0
GO:0009059	biological_process	macromolecule biosynthetic process	10	10	1.0
GO:0052689	molecular_function	carboxylic ester hydrolase activity	10	10	1.0
GO:0005575	cellular_component	cellular_component	10	10	1.0
GO:0003700	molecular_function	DNA-binding transcription factor activity	10	10	1.0
GO:0006518	biological_process	peptide metabolic process	10	10	1.0
GO:0006520	biological_process	cellular amino acid metabolic process	10	10	1.0
GO:0009889	biological_process	regulation of biosynthetic process	10	10	1.0
GO:0009890	biological_process	negative regulation of biosynthetic process	10	10	1.0
GO:0009892	biological_process	negative regulation of metabolic process	10	10	1.0
GO:0008270	molecular_function	zinc ion binding	10	10	1.0
GO:0019538	biological_process	protein metabolic process	10	10	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	10	10	1.0
GO:0050789	biological_process	regulation of biological process	10	10	1.0
GO:0000049	molecular_function	tRNA binding	10	10	1.0
GO:0050794	biological_process	regulation of cellular process	10	10	1.0
GO:0017076	molecular_function	purine nucleotide binding	10	10	1.0
GO:0002161	molecular_function	aminoacyl-tRNA editing activity	10	10	1.0
GO:0003723	molecular_function	RNA binding	10	10	1.0
GO:0106074	biological_process	aminoacyl-tRNA metabolism involved in translational fidelity	10	10	1.0
GO:0001130	molecular_function	bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding	10	10	1.0
GO:0034470	biological_process	ncRNA processing	10	10	1.0
GO:0004812	molecular_function	aminoacyl-tRNA ligase activity	10	10	1.0
GO:0004813	molecular_function	alanine-tRNA ligase activity	10	10	1.0
GO:0065007	biological_process	biological regulation	10	10	1.0
GO:0065008	biological_process	regulation of biological quality	10	10	1.0
GO:2001141	biological_process	regulation of RNA biosynthetic process	10	10	1.0
GO:0016787	molecular_function	hydrolase activity	10	10	1.0
GO:0016788	molecular_function	hydrolase activity, acting on ester bonds	10	10	1.0
GO:0008033	biological_process	tRNA processing	10	10	1.0
GO:0031323	biological_process	regulation of cellular metabolic process	10	10	1.0
GO:2000112	biological_process	regulation of cellular macromolecule biosynthetic process	10	10	1.0
GO:0031324	biological_process	negative regulation of cellular metabolic process	10	10	1.0
GO:2000113	biological_process	negative regulation of cellular macromolecule biosynthetic process	10	10	1.0
GO:0010468	biological_process	regulation of gene expression	10	10	1.0
GO:0031326	biological_process	regulation of cellular biosynthetic process	10	10	1.0
GO:0044424	cellular_component	intracellular part	10	10	1.0
GO:0043603	biological_process	cellular amide metabolic process	10	10	1.0
GO:0031327	biological_process	negative regulation of cellular biosynthetic process	10	10	1.0
GO:0043604	biological_process	amide biosynthetic process	10	10	1.0
GO:0002196	molecular_function	Ser-tRNA(Ala) hydrolase activity	10	10	1.0
GO:0045934	biological_process	negative regulation of nucleobase-containing compound metabolic process	10	10	1.0
GO:1901265	molecular_function	nucleoside phosphate binding	10	10	1.0
GO:0043038	biological_process	amino acid activation	10	10	1.0
