Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A0X8JWD3	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	712633	Beta sliding clamp
E0Q3W5	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	864570	Beta sliding clamp
V8IHL9	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	1415761	Beta sliding clamp
A0A1E9GFK9	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	1739268	Beta sliding clamp
D3H618	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	365659	Beta sliding clamp
X8KCM8	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	1161416	Beta sliding clamp
A0A1H0SSP2	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	1855327	Beta sliding clamp
A0A139Q1T0	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A081PN35	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A2I1TXW0	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A081Q851	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A1X1JPK9	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A1X1KY76	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A081QKG4	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A133RVY1	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
A0A081Q8Y4	unreviewed	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360	28037	Beta sliding clamp
