Entry	Status	Gene ontology IDs	Organism ID	Protein names
H1HIE1	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	999414	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A1S1MLQ4	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	851	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2N6TLS4	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	851	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A323U188	unreviewed	GO:0016874	851	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A124GCR8	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	76856	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
X7S818	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	1357398	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A140PQQ8	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	457405	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
D6BDS3	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	556264	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A0S2ZG58	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	1307444	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
X8HJK1	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	936563	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
U7T8U0	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	1204474	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
R9RCS8	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	469607	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
X8I0V9	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	1032505	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
W3YF77	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	936562	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A5TXC1	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	393480	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
C7XMN7	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	469604	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
X8HVF7	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	936561	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A0M4RYC6	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	76859	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2B7YTX8	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	76859	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2G9FND5	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	76859	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
F9EMG9	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	997347	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2G9E6K9	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	860	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2D3P5K6	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	860	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
J8VN25	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	1216362	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
A0A2D3PK21	unreviewed	GO:0004814; GO:0005524; GO:0005737; GO:0006420	860	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
