Entry	Gene ontology (molecular function)
A0A0H3MWR3	protein disulfide oxidoreductase activity [GO:0015035]; thioredoxin-disulfide reductase activity [GO:0004791]
A0A197S9J2	protein disulfide oxidoreductase activity [GO:0015035]; thioredoxin-disulfide reductase activity [GO:0004791]
P46843	protein disulfide oxidoreductase activity [GO:0015035]; thioredoxin-disulfide reductase activity [GO:0004791]
A0A318HMJ1	protein disulfide oxidoreductase activity [GO:0015035]; thioredoxin-disulfide reductase activity [GO:0004791]
A0A162DU46	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2M2Q9	protein disulfide oxidoreductase activity [GO:0015035]
X8FN40	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X2ANP2	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2MU12	protein disulfide oxidoreductase activity [GO:0015035]
B2HNS9	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X2CE65	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X0FWG4	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2SLZ4	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2IX57	protein disulfide oxidoreductase activity [GO:0015035]
X7ULA1	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X0CAJ7	protein disulfide oxidoreductase activity [GO:0015035]
X8CDY1	protein disulfide oxidoreductase activity [GO:0015035]
A0A0I9U358	protein disulfide oxidoreductase activity [GO:0015035]
A0A1Q4HB66	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A3SZD6	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X0JYG0	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2GF77	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2PPL4	protein disulfide oxidoreductase activity [GO:0015035]
A0A220Y3X8	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X1RB39	protein disulfide oxidoreductase activity [GO:0015035]
L7VEX4	protein disulfide oxidoreductase activity [GO:0015035]
A0A498QG95	protein disulfide oxidoreductase activity [GO:0015035]
I3NIE3	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X1UM66	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A0L824	protein disulfide oxidoreductase activity [GO:0015035]
A0A329KN83	protein disulfide oxidoreductase activity [GO:0015035]
A0A329LY53	protein disulfide oxidoreductase activity [GO:0015035]
A0A1B4Y9Z7	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A3CXH4	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2PQ31	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2VDJ1	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2PIL7	protein disulfide oxidoreductase activity [GO:0015035]
X8B018	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X1VU99	protein disulfide oxidoreductase activity [GO:0015035]
V7IZI9	protein disulfide oxidoreductase activity [GO:0015035]
A0A049DRU0	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A2WGU2	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A3J1B4	protein disulfide oxidoreductase activity [GO:0015035]
V7MR71	protein disulfide oxidoreductase activity [GO:0015035]
A0A024JR00	protein disulfide oxidoreductase activity [GO:0015035]
A0A498R2T9	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A3PIU3	protein disulfide oxidoreductase activity [GO:0015035]
A0A1X0Y2X7	protein disulfide oxidoreductase activity [GO:0015035]
V7NJS3	protein disulfide oxidoreductase activity [GO:0015035]
A0A1A3FBP6	protein disulfide oxidoreductase activity [GO:0015035]
