Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A250LV49	unreviewed	GO:0005524; GO:0015833; GO:0016887	856	Putative ABC transporter ATP-binding protein
H1PP98	unreviewed	GO:0005524; GO:0015833; GO:0016887	457404	Oligopeptide/dipeptide ABC transporter, ATP-binding protein domain
A0A2P1S897	unreviewed	GO:0005524; GO:0015833; GO:0016887	861	ABC transporter ATP-binding protein
H1HEH2	unreviewed	GO:0005524; GO:0015833; GO:0016887	999414	Oligopeptide/dipeptide ABC transporter, ATP-binding protein domain
A0A1F0DT95	unreviewed	GO:0005524; GO:0015833; GO:0016887	1739543	Peptide ABC transporter ATP-binding protein
U7TT30	unreviewed	GO:0005524; GO:0015833; GO:0016887	1316587	Uncharacterized protein
A0A1S1MFH9	unreviewed	GO:0005524; GO:0015833; GO:0016887	851	Peptide ABC transporter ATP-binding protein
A0A2A5QKL6	unreviewed	GO:0005524; GO:0015833; GO:0016887	851	ABC transporter ATP-binding protein
A0A0M4RW80	unreviewed	GO:0005524; GO:0015833; GO:0016887	76856	Peptide ABC transporter ATP-binding protein
X7RZN1	unreviewed	GO:0005524; GO:0015833; GO:0016887	1357398	Uncharacterized protein
A0A140PPF2	unreviewed	GO:0005524; GO:0015833; GO:0016887	457405	Oligopeptide/dipeptide ABC transporter, ATP-binding protein domain
D6BHJ1	unreviewed	GO:0005524; GO:0015833; GO:0016887	556264	Dipeptide transport ATP-binding protein DppF
A0A0S2ZDG1	unreviewed	GO:0005524; GO:0015833; GO:0016887	1307444	Peptide ABC transporter ATP-binding protein
G6C2Z3	unreviewed	GO:0005524; GO:0015833; GO:0016887	861452	Uncharacterized protein
X8GYJ9	unreviewed	GO:0005524; GO:0015833; GO:0016887	936563	Oligopeptide/dipeptide transporter, C-terminal domain protein
U7T7C2	unreviewed	GO:0005524; GO:0015833; GO:0016887	1204474	Peptide/nickel transport system ATP-binding protein
R9RAL3	unreviewed	GO:0005524; GO:0015833; GO:0016887	469607	Oligopeptide/dipeptide ABC transporter, ATP-binding protein domain protein
