Entry	Status	Gene ontology IDs	Organism ID	Protein names
Q8Y2H6	unreviewed	GO:0009102; GO:0010340; GO:0102130	267608	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
U3GHW7	unreviewed	GO:0009102; GO:0010340; GO:0102130	658080	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
C6BBD1	unreviewed	GO:0009102; GO:0010340; GO:0102130	428406	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
M4U950	unreviewed	GO:0009102; GO:0010340; GO:0102130	1262456	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A1L3DHK8	unreviewed	GO:0009102; GO:0010340; GO:0102130	1130828	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
D8N8Q9	unreviewed	GO:0009102; GO:0010340; GO:0102130	859655	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A2W8L6R7	unreviewed	GO:0009102; GO:0010340; GO:0102130	1310165	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
B2UE39	unreviewed	GO:0009102; GO:0010340; GO:0102130	402626	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A2P4RH93	unreviewed	GO:0009102; GO:0010340; GO:0102130	329	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A2N4TVY6	unreviewed	GO:0009102; GO:0010340; GO:0102130	329	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
R0E4D3	unreviewed	GO:0009102; GO:0010340; GO:0102130	1264675	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0K1ZP75	unreviewed	GO:0004519; GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0S4TUU7	unreviewed	GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0B2AV52	unreviewed	GO:0009102; GO:0010340; GO:0102130	1348852	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A223GJ31	unreviewed	GO:0009102; GO:0010340; GO:0102130	1310165	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A223GY04	unreviewed	GO:0009102; GO:0010340; GO:0102130	1310165	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0S4XEE7	unreviewed	GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0S4U943	unreviewed	GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A160BTU7	unreviewed	GO:0009102; GO:0010340; GO:0102130	105219	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A2N5L3F9	unreviewed	GO:0009102; GO:0010340; GO:0102130	105219	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A291ENK7	unreviewed	GO:0009102; GO:0010340; GO:0102130	329	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A1U9VHI8	unreviewed	GO:0009102; GO:0010340; GO:0102130	1944648	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A127S4L2	unreviewed	GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A177RN59	unreviewed	GO:0009102; GO:0010340; GO:0102130	305	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
D8NQ41	unreviewed	GO:0009102; GO:0010340; GO:0102130	859656	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
D8NZB7	unreviewed	GO:0009102; GO:0010340; GO:0102130	859657	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
G2ZN89	unreviewed	GO:0009102; GO:0010340; GO:0102130	741978	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A347CK17	unreviewed		305	SAM-dependent methyltransferase
A0A347IRF5	unreviewed		305	SAM-dependent methyltransferase
A0A1I5U0A0	unreviewed	GO:0009102; GO:0010340; GO:0102130	1566294	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A1C0XGM3	unreviewed	GO:0009102; GO:0010340; GO:0102130	329	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A117DRD9	unreviewed	GO:0009102; GO:0010340; GO:0102130	1218247	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
S9RV47	unreviewed	GO:0009102; GO:0010340; GO:0102130	1235457	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0B1Y8A3	unreviewed	GO:0009102; GO:0010340; GO:0102130	1217052	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A0J9DR22	unreviewed	GO:0009102; GO:0010340; GO:0102130	1676617	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
A0A191ZSZ8	unreviewed	GO:0009102; GO:0010340; GO:0102130	190721	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
G3A449	unreviewed	GO:0009102; GO:0010340; GO:0102130	907261	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)
