Entry	Gene ontology (GO)	Gene ontology IDs	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)
A0A0T8M2E1	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
B2IQR2	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9LXQ0	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
A0A0I7HKE8	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
A0A0I6GGH0					
V8I6Z8	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
A0A0H2UQX2	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
E9FFL5	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
Q8DP83	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]	GO:0003677; GO:0003700; GO:0045892		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	negative regulation of transcription, DNA-templated [GO:0045892]
V8IEN8	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
