Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A133N6R1	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	134605	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
H1HFP6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	999414	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A1F0E4Q6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1739543	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A0E2V5U9	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1441737	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
U7TWJ3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1316587	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A323TT14	unreviewed	GO:0016301	851	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2N6THU3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	851	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A1S1MAW5	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	851	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A133NN94	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	851	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A0M5MA25	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	76856	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
X7RXJ6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1357398	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A140PS89	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	457405	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
D6BIG1	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	556264	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A0S2ZIJ3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1307444	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
U7TC82	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1204474	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
X8HII6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	936563	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A064AJE2	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1441736	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
R9RA96	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469607	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
X8HWC9	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1032505	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
W3Y9W7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	936562	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2X3JYF9	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	143388	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A5TVB1	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	393480	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
C7XRU5	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469604	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
X8HNW0	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	936561	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
F9EM79	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	997347	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2D3PBD2	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	860	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2G9EET3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	860	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2D3PQ73	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	860	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2D3NZW0	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	860	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A2G9E6H5	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	860	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
J8VJY6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1216362	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A0M1VWQ1	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469606	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
H1DBV2	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	742814	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A250LYT3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	856	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
C6JI20	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469618	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A095YM20	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469599	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A0S2ZJT7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1307442	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
U7SFQ8	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1316586	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
Q7P7Z8	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	209882	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
K1HGN2	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	620833	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
R5XWM7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1262900	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
D6LIP5	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469621	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
J6H4M6	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1161424	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A1E9ILW7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1739251	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
E5BID7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	469605	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
F7L2X2	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	457403	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
D4CSZ1	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	546275	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
A0A1E9EGU3	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	1739279	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
H1PYU7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	457404	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
D5RFA7	unreviewed	GO:0005524; GO:0005737; GO:0033862; GO:0044210	525283	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
