Entry	Status	Gene ontology IDs	Organism ID	Protein names
H1HE51	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	999414	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
A0A133NTU0	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	851	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
X7RZE8	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	1357398	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
A0A140PQR0	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	457405	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
D6BGW2	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	556264	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
G6C1H6	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	861452	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
U7T7P9	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	1204474	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
R9RBQ6	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	469607	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
W3Z7N7	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	936562	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
A5TTY6	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	393480	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
C7XPH4	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	469604	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
X8I8E4	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	936561	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
J8VHC1	unreviewed	GO:0000166; GO:0003938; GO:0006177; GO:0046872	1216362	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
