Entry	Status	Gene ontology IDs	Organism ID	Protein names
R6U486	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1262751	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A1C5Y7Y9	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	162156	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
R7JDW6	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1262913	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A1F8P2J6	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1797641	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A0R1WN08	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1423755	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A1V9RDL4	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1624	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A2G4RK32	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1624	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A2U2M7C5	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1624	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A0R1ZLT2	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1423820	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
C2EET9	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1423799	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
F5VEL5	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1029822	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A2A7REJ9	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	2042045	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
H7FXN4	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1108963	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
A0A0F7PSE2	unreviewed	GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933	1194971	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
