Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A2A7QEQ6	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	2042029	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A1C1ZRC5	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A1Y2UG40	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A256VIU1	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A0U5JSF1	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A081NN82	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A2G9ING2	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A1C2G713	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A2S1ESP3	unreviewed		1598	Aspartyl/glutamyl-tRNA amidotransferase subunit A
A0A073JMK7	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	1598	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
A0A2A7R7T4	unreviewed	GO:0004040; GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567	2042044	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
