Entry	Status	Gene ontology IDs	Organism ID	Protein names
E6KVC0	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	888057	Uridine phosphorylase (EC 2.4.2.3)
C5S1H5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	637911	Uridine phosphorylase (EC 2.4.2.3)
I3DA21	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1095749	Uridine phosphorylase (EC 2.4.2.3)
A0A2U8FL90	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	189834	Uridine phosphorylase (EC 2.4.2.3)
A0A369Y3X7	unreviewed		739	Uridine phosphorylase (EC 2.4.2.3)
A0A2M8RZX4	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	28161	Uridine phosphorylase (EC 2.4.2.3)
G4A6N8	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	907488	Uridine phosphorylase (EC 2.4.2.3)
A0A0K1N183	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	732	Uridine phosphorylase (EC 2.4.2.3)
A0A336N9N4	unreviewed	GO:0004850	732	Uridine phosphorylase (EC 2.4.2.3)
X2JRP5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	272556	Uridine phosphorylase (EC 2.4.2.3)
A0A1C7C5D5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	907491	Uridine phosphorylase (EC 2.4.2.3)
A0A0N2CWA2	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	679198	Uridine phosphorylase (EC 2.4.2.3)
H0KGI4	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1089447	Uridine phosphorylase (EC 2.4.2.3)
A0A142FZ85	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	714	Uridine phosphorylase (EC 2.4.2.3)
U1SDK5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1321772	Uridine phosphorylase (EC 2.4.2.3)
F0EQZ0	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	888828	Uridine phosphorylase (EC 2.4.2.3)
A0A377IX04	unreviewed		249188	Uridine phosphorylase (EC 2.4.2.3)
A0A1T0AXR5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	123822	Uridine phosphorylase (EC 2.4.2.3)
F9Q8F5	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1035188	Uridine phosphorylase (EC 2.4.2.3)
K0GDH0	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	696748	Uridine phosphorylase (EC 2.4.2.3)
A0A0A7MM71	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	202947	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3K121	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	758	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3I9J7	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1908258	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3IQW8	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1908260	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3JR06	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1908266	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3J978	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1908264	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3IWK7	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1906745	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3L0H1	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1906745	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3IG62	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1908257	Uridine phosphorylase (EC 2.4.2.3)
A0A1V3KH50	unreviewed	GO:0004850; GO:0005737; GO:0009166; GO:0044206	1906744	Uridine phosphorylase (EC 2.4.2.3)
