Entry	Gene ontology (GO)	Gene ontology IDs	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)
A0A1F0E5H6	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
U7TPG1	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
A0A323TTE5	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
A0A3P1VTL5	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
A0A223AW88	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
A0A0M3UX46	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
X7SCF4	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
A0A0S2ZHB6	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
G6C3P5	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
X8H2F4	plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	GO:0003723; GO:0004521; GO:0005886; GO:0006402	plasma membrane [GO:0005886]	endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]	mRNA catabolic process [GO:0006402]
