Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A0T8QTS3	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1313	Pyruvate formate-lyase (EC 2.3.1.54)
B4U135	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	552526	Pyruvate formate-lyase
T0V5V3	unreviewed	GO:0005737; GO:0005975; GO:0008861	1234601	Formate acetyltransferase
A0A084AER5	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1415168	Pyruvate-formate lyase
A0A0V8D504	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
A0A0V8DMG4	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
A0A0V8AX71	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
A0A0V8BNJ0	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
A0A0V8EKA6	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
A0A0B8R049	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate-formate lyase
A0A0V8BYR1	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1360	Pyruvate formate-lyase
G6F9G8	unreviewed	GO:0005737; GO:0005975; GO:0008861	1042402	Formate C-acetyltransferase (EC 2.3.1.54)
A0A1E7G237	unreviewed	GO:0005737; GO:0005975; GO:0008861	1449093	Formate acetyltransferase
A0A2A5SBW9	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	203404	Pyruvate-formate lyase
T0WNG4	unreviewed	GO:0005737; GO:0005975; GO:0008861	1234873	Formate acetyltransferase
A0A2A5ST57	unreviewed	GO:0005737; GO:0005975; GO:0008861	542833	Formate acetyltransferase
T0UHW5	unreviewed	GO:0005737; GO:0005975; GO:0008861	1234871	Formate acetyltransferase
U6ELA8	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1390360	Pyruvate formate-lyase (EC 2.3.1.54)
H5SXG9	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1046624	Pyruvate-formate lyase
U5PJG6	unreviewed	GO:0005737; GO:0005975; GO:0008861	1399116	Formate acetyltransferase
A0A2A5RPE5	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1291764	Pyruvate-formate lyase
S6F1I9	unreviewed	GO:0005737; GO:0005975; GO:0008861	1137134	Formate acetyltransferase (EC 2.3.1.54)
D2BPC0	unreviewed	GO:0005737; GO:0005975; GO:0008861	684738	Formate acetyltransferase (EC 2.3.1.54)
A0A2A9I5T2	unreviewed	GO:0005737; GO:0005975; GO:0008861	1358	Formate acetyltransferase
A0A2A9IR18	unreviewed	GO:0005737; GO:0005975; GO:0008861	1358	Formate acetyltransferase
A0A199YR66	unreviewed	GO:0005737; GO:0005975; GO:0008861	1408188	Formate acetyltransferase
T2F4B8	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1295826	Pyruvate formate-lyase PflB
T0TDB2	unreviewed	GO:0005737; GO:0005975; GO:0008861	1234876	Formate acetyltransferase
A0A1V0NTC1	unreviewed	GO:0005737; GO:0005975; GO:0008861	1359	Formate acetyltransferase
A0A166VW83	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1359	Pyruvate formate-lyase
A0A165GBH6	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1359	Pyruvate formate-lyase
A0A1V0P8M7	unreviewed	GO:0005737; GO:0005975; GO:0008861; GO:0016829	1359	Pyruvate-formate lyase
