Entry	Status	Gene ontology IDs	Organism ID	Protein names
E8KHI0	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	887324	30S ribosomal protein S1
E0EXJ3	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754258	30S ribosomal protein S1
E0FG34	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754261	30S ribosomal protein S1
E0EJT9	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754255	30S ribosomal protein S1
E0F3P5	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754259	30S ribosomal protein S1
E0FM54	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754262	30S ribosomal protein S1
B3GXH6	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	537457	30S ribosomal protein S1
E0F9Z4	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	754260	30S ribosomal protein S1
A0A084EYQ4	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	738	30S ribosomal protein S1
A0A0E1RJA2	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	456298	30S ribosomal protein S1
R7I9V1	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	1262975	30S ribosomal protein S1
A0A0A8E9I7	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	325775	30S ribosomal protein S1
A0A1V4GWE9	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34059	30S ribosomal protein S1
A0A1B8QCV4	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34059	30S ribosomal protein S1
A0A1B8QK08	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34059	30S ribosomal protein S1
L2F7F6	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	1230338	30S ribosomal protein S1
A0A2D2E6M1	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34062	30S ribosomal protein S1
A0A270AYL0	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34062	30S ribosomal protein S1
A0A173MUT8	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34062	30S ribosomal protein S1
A0A2K8K073	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34062	30S ribosomal protein S1
C8PYS5	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	553217	30S ribosomal protein S1
A0A2D2LTQ2	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	34062	30S ribosomal protein S1
A0A1V2GTE3	unreviewed	GO:0003723; GO:0003735; GO:0005840; GO:0006412	1907940	30S ribosomal protein S1
