Entry	Gene ontology (GO)	Gene ontology IDs	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)
A0A1H8G4I7	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0016829; GO:0019346; GO:0030170		lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
X4ZMA3	catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003824; GO:0019346; GO:0030170		catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A0F7F9C4	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A089HMN6	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A1S8TNH1	methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0018826; GO:0019346; GO:0030170		methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
G7MA79	cysteine synthase activity [GO:0004124]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0004124; GO:0019346; GO:0030170		cysteine synthase activity [GO:0004124]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A428M526	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0016829; GO:0019346; GO:0030170		lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A143YN12	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
U7UL77	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A143YLR3	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A383TAS4	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A143YBD9	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A143YHM8	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A252CN18	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A0R1H052	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0016829; GO:0019346; GO:0030170		lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
C4FSD2	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
D1BQZ0	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
F5KZT9	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A2S7ZCT2	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
