Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A1F0E4F4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1739543	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
U7TRF4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1316587	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A1S1MF59	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	851	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A323TTU8	unreviewed		851	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
X7S584	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1357398	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
X8GZW6	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	936563	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
W3Y4C2	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	936562	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
C7XMV2	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	469604	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2G9E3I9	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	860	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A0M1VSG4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	469606	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2D3JI25	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	155615	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2G7HBJ8	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	155615	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A377GQ87	unreviewed		155615	Peptidase T (EC 3.4.11.4)
Q7P5J0	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	209882	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A1E9ENJ3	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1739279	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2C6CDC6	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A246EDK3	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2C6AZ18	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A241Q040	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2C6CK07	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A1Z3CJ09	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2C6C5C0	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2C6BKT9	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A0S2ZU12	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2B7YMQ4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76857	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
F9ENX4	unreviewed	GO:0005737; GO:0006518; GO:0008270; GO:0045148	997347	Peptidase T (EC 3.4.11.4) (Fragment)
H1HDW2	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	999414	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2N6TNZ4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	851	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A133NA99	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	851	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A0X3Y0M1	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76856	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A140PR27	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	457405	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
D6BGN1	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	556264	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
U7T8H5	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1204474	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
R9RB21	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	469607	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
X8I1U8	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	936561	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2G9FAY2	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76859	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A0M4SQP5	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76859	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A2B7YTM6	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	76859	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
U7SSM4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1316586	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
R5XTL4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1262900	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
F7KYY0	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	457403	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
D5RBK8	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	525283	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A0A223AZ26	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	671211	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
P58794	reviewed	GO:0005829; GO:0008237; GO:0008270; GO:0043171; GO:0045148	190304	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
X8HNJ5	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1032505	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
A5TW96	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	393480	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
J8VMG4	unreviewed	GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148	1216362	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
