Entry	Status	Gene ontology IDs	Organism ID	Protein names
I5CAL7	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	1189621	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A132MYQ6	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295	1469144	Multifunctional fusion protein [Includes: Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15); Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha)]
A0A132NEP2	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295	1469144	Multifunctional fusion protein [Includes: Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15); Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha)]
R5KRA9	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295	1262881	Multifunctional fusion protein [Includes: Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15); Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha)]
A0A2P6K373	unreviewed	GO:0003989; GO:0004594; GO:0005524; GO:0006633; GO:0009317; GO:0015937	6915	CoaA
R7I7W2	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	1262975	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A1H9JJ80	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	478744	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
L7W6F0	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	592029	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A2M8JWT7	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	1917865	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A4CN80	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	313596	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A2S8SMX3	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	669455	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A1H2R1R7	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	1235997	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A1M7LAM9	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	388280	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
A0A1T4QX60	unreviewed	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	413434	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
